,memory_1,memory_2,width,height,size
0,643.375,615.37109375,1280,848,0
1,615.37109375,644.875,5000,3333,0
2,644.875,613.3046875,2500,1667,0
3,613.3046875,613.375,1584,2376,0
4,613.375,552.55078125,5000,3333,0
5,552.55078125,550.20703125,4928,3264,0
6,550.20703125,518.31640625,1280,901,0
7,518.31640625,514.30859375,5000,3333,0
8,514.30859375,482.47265625,2500,1667,0
9,482.47265625,511.4453125,4272,2848,0
10,511.4453125,511.6640625,2880,1920,0
11,511.6640625,512.9375,4912,3264,0
12,512.9375,498.6875,5000,3333,0
13,498.6875,487.4375,5000,3333,0
14,487.4375,495.94921875,5000,2813,0
15,495.94921875,498.6640625,4752,3168,0
16,498.6640625,455.59375,2000,1334,0
17,455.59375,483.5,4592,2576,0
18,483.5,483.60546875,4855,1803,0
19,483.60546875,483.59765625,2621,1747,0
20,483.59765625,484.5390625,2848,4288,0
21,484.5390625,484.5,3568,2368,0
22,484.5,455.58203125,2500,1667,0
23,455.58203125,455.51171875,2500,1667,0
24,455.51171875,485.8125,3264,2176,0
25,485.8125,496.12109375,4608,3072,0
26,496.12109375,496.0703125,2048,2048,0
27,496.0703125,496.00390625,5000,3250,0
28,496.00390625,455.7734375,2464,1632,0
29,455.7734375,479.5234375,2000,3011,0
30,479.5234375,483.015625,4106,2806,0
31,483.015625,455.5546875,1280,960,0
32,455.5546875,485.875,3264,2176,0
33,485.875,513.0625,3872,2592,0
34,513.0625,513.12890625,3264,1836,0
35,513.12890625,513.05859375,1631,1102,0
36,513.05859375,455.8046875,1280,853,0
37,455.8046875,496.20703125,4608,3072,0
38,496.20703125,496.1796875,4608,2592,0
39,496.1796875,455.78515625,1280,853,0
40,455.78515625,484.78125,4032,3024,0
41,484.78125,479.76953125,5000,3333,0
42,479.76953125,448.09375,2500,1667,0
43,448.09375,477.23046875,5000,3333,0
44,477.23046875,499.50390625,3456,2304,0
45,499.50390625,499.37109375,4326,2884,0
46,499.37109375,492.875,5000,3334,0
47,492.875,493.109375,4608,3072,0
48,493.109375,492.80078125,4912,3264,0
49,492.80078125,438.4765625,2133,1200,0
50,438.4765625,492.96484375,3456,2304,0
51,492.96484375,438.6640625,1280,960,0
52,438.6640625,469.90234375,5000,3269,0
53,469.90234375,492.859375,2448,3264,0
54,492.859375,493.0703125,4912,3264,0
55,493.0703125,438.734375,2500,1667,0
56,438.734375,438.6953125,2500,1667,0
57,438.6953125,438.6796875,2500,1667,0
58,438.6796875,462.1640625,3504,2336,0
59,462.1640625,466.38671875,4209,2769,0
60,466.38671875,441.48046875,3887,4899,0
61,441.48046875,417.89453125,1500,997,0
62,417.89453125,444.09375,4912,3264,0
63,444.09375,470.91015625,2758,3622,0
64,470.91015625,413.76171875,1280,805,0
65,413.76171875,437.3828125,1999,2998,0
66,437.3828125,413.77734375,1280,831,0
67,413.77734375,413.81640625,2500,1667,0
68,413.81640625,456.31640625,4728,3168,0
69,456.31640625,456.2890625,5000,3333,0
70,456.2890625,456.15625,5000,3333,0
71,456.15625,456.42578125,3008,2008,0
72,456.42578125,456.40625,3011,2000,0
73,456.40625,456.2578125,5000,3333,0
74,456.2578125,463.42578125,1280,1280,0
75,463.42578125,413.57421875,2000,1333,0
76,413.57421875,413.58203125,1280,774,0
77,413.58203125,445.19140625,5000,3333,0
78,445.19140625,445.3046875,4434,3729,0
79,445.3046875,474.94921875,4000,2670,0
80,474.94921875,474.63671875,4179,2790,0
81,474.63671875,474.49609375,3670,2462,0
82,474.49609375,474.59765625,2560,1920,0
83,474.59765625,413.5390625,1280,1707,0
84,413.5390625,413.65625,2500,1667,0
85,413.65625,467.9765625,3264,2448,0
86,467.9765625,471.08203125,3888,2592,0
87,471.08203125,471.234375,4288,2848,0
88,471.234375,413.66015625,2000,1333,0
89,413.66015625,437.68359375,3000,2000,0
90,437.68359375,468.0234375,3264,2448,0
91,468.0234375,467.890625,5000,3333,0
92,467.890625,468.10546875,3000,1992,0
93,468.10546875,467.97265625,5000,3333,0
94,467.97265625,413.55859375,2500,1656,0
95,413.55859375,443.97265625,3264,4912,0
96,443.97265625,444.0,4272,2848,0
97,444.0,468.0,3264,2448,0
98,468.0,413.703125,1280,792,0
99,413.703125,413.7109375,1920,1200,0
